"","assay_name","chemical_name","ACC","count"
"1","ACEA_AR_agonist_80hr","Benzidine",51.740121523535,1
"2","ACEA_AR_agonist_80hr","Hydroquinone",6.33716930569758,1
"3","ACEA_AR_agonist_AUC_viability","2-Chloroacetophenone",61.8857822925356,1
"4","ACEA_AR_agonist_AUC_viability","2,4-Dinitrophenol",22.8608225415998,1
"5","ACEA_AR_agonist_AUC_viability","2,4-Toluene Diisocyanate",19.4936902642022,1
"6","ACEA_AR_agonist_AUC_viability","2,4,5-Trichlorophenol",23.1494945819048,1
"7","ACEA_AR_agonist_AUC_viability","2,4,6-Trichlorophenol",81.5638524337879,1
"8","ACEA_AR_agonist_AUC_viability","4,6-Dinitro-O-Cresol",18.906760262501,1
"9","ACEA_AR_agonist_AUC_viability","Bis(2-Ethylhexyl),Phthalate",20.8542577862668,1
"10","ACEA_AR_agonist_AUC_viability","Captan",16.3026784064619,1
"11","ACEA_AR_agonist_AUC_viability","Catechol",6.98208222828112,1
"12","ACEA_AR_agonist_AUC_viability","Chlordane",5.29297874892254,1
"13","ACEA_AR_agonist_AUC_viability","Chlorobenzilate",32.5544933193983,1
"14","ACEA_AR_agonist_AUC_viability","Heptachlor",16.6262430465652,1
"15","ACEA_AR_agonist_AUC_viability","Hexachlorocyclopentadiene",27.6046378666801,1
"16","ACEA_AR_agonist_AUC_viability","Methoxychlor",67.7163512924549,1
"17","ACEA_AR_agonist_AUC_viability","Pentachloronitrobenzene",18.661415763928,1
"18","ACEA_AR_agonist_AUC_viability","Pentachlorophenol",10.4101480504378,1
"19","ACEA_AR_agonist_AUC_viability","Trifluralin",39.745979502993,1
"20","ACEA_AR_antagonist_80hr","2-Chloroacetophenone",31.0115619146633,1
"21","ACEA_AR_antagonist_80hr","2,4-Dinitrophenol",20.5007792847325,1
"22","ACEA_AR_antagonist_80hr","2,4-Toluene Diisocyanate",10.7431165694992,1
"23","ACEA_AR_antagonist_80hr","2,4,5-Trichlorophenol",27.9793578740615,1
"24","ACEA_AR_antagonist_80hr","2,4,6-Trichlorophenol",31.2115176798016,1
"25","ACEA_AR_antagonist_80hr","3,3'-Dimethoxybenzidine",13.3313208783122,1
"26","ACEA_AR_antagonist_80hr","4-Nitrophenol",33.1885199566064,1
"27","ACEA_AR_antagonist_80hr","4,4'-Methylenedianiline",24.6879496073699,1
"28","ACEA_AR_antagonist_80hr","4,6-Dinitro-O-Cresol",13.9980146188831,1
"29","ACEA_AR_antagonist_80hr","Benzidine",26.4872908671934,1
"30","ACEA_AR_antagonist_80hr","Bis(2-Ethylhexyl),Phthalate",22.0493032534425,1
"31","ACEA_AR_antagonist_80hr","Captan",4.92166007955341,1
"32","ACEA_AR_antagonist_80hr","Catechol",10.4673652434798,1
"33","ACEA_AR_antagonist_80hr","Chlordane",6.07121064414444,1
"34","ACEA_AR_antagonist_80hr","Chlorobenzilate",9.09269757772009,1
"35","ACEA_AR_antagonist_80hr","Heptachlor",11.248141007669,1
